tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1641548,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107995,3907905,0,233,140000,0,0
1641550,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107971,3921905,0,233,140000,0,0
1641552,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107948,3935905,0,233,140000,0,0
1641554,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107925,3949905,0,233,140000,0,0
1641556,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107901,3963905,0,233,140000,0,0
1641558,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107878,3977905,0,233,140000,0,0
1641560,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107855,3991905,0,233,140000,0,0
1641562,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107832,4005905,0,233,140000,0,0
1641564,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107808,4019905,0,233,140000,0,0
1641566,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107785,4033905,0,233,140000,0,0
1641568,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107762,4047905,0,233,140000,0,0
1641570,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107739,4061905,0,233,140000,0,0
1641572,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107715,4075905,0,233,140000,0,0
1641574,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107692,4089905,0,233,140000,0,0
1641576,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107669,4103905,0,233,140000,0,0
1641578,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107645,4117905,0,233,140000,0,0
1641580,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107622,4131905,0,233,140000,0,0
1641582,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107599,4145905,0,233,140000,0,0
1641584,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107576,4159905,0,233,140000,0,0
1641586,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107552,4173905,0,233,140000,0,0
1641588,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107529,4187905,0,233,140000,0,0
1641590,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107506,4201905,0,233,140000,0,0
1641592,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107483,4215905,0,233,140000,0,0
1641594,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107459,4229905,0,233,140000,0,0
1641596,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107436,4243905,0,233,140000,0,0
1641598,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107413,4257905,0,233,140000,0,0
1641600,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107389,4271905,0,233,140000,0,0
1641602,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107366,4285905,0,233,140000,0,0
1641604,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107343,4299905,0,233,140000,0,0
1641606,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107320,4313905,0,233,140000,0,0
1641608,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-107296,4327905,0,233,140000,0,0
